mean radius,mean texture
10.05,17.53
10.8,21.98
16.14,14.86
12.18,17.84
12.25,22.44
13.28,13.72
11.74,14.02
12.67,17.3
14.22,23.12
11.27,12.96
20.2,26.83
11.62,18.18
14.34,13.47
11.29,13.04
10.26,16.58
10.86,21.48
18.01,20.56
10.08,15.11
13.2,15.82
13.11,22.54
11.3,18.19
11.54,10.72
14.74,25.42
15.05,19.07
23.21,26.97
10.51,20.19
12.34,12.27
13.53,10.94
19.59,18.15
11.85,17.46
11.22,19.86
20.13,28.25
13.59,17.84
16.69,20.2
12.06,18.9
13.87,16.21
12.56,19.07
14.26,19.65
9.029,17.33
13.46,18.75
9.876,17.27
14.78,23.94
14.04,15.98
13.61,24.69
12.72,17.67
15.49,19.97
19.68,21.68
12.3,19.02
10.97,17.2
17.27,25.42
11.43,15.39
17.05,19.08
13.71,20.83
17.99,20.66
13.71,18.68
13.3,21.57
9.333,21.94
11.49,14.59
10.49,18.61
12.25,17.94
18.31,18.58
6.981,13.43
9.787,19.94
13.08,15.71
11.15,13.08
15.1,22.02
18.63,25.11
11.67,20.02
13.49,22.3
13.61,24.98
12.99,14.23
10.51,23.09
14.76,14.74
12.54,16.32
19.21,18.57
10.75,14.97
10.17,14.88
18.25,19.98
13.0,21.82
10.88,15.62
10.25,16.18
19.73,19.82
23.29,26.67
13.2,17.43
13.64,15.6
14.99,25.2
12.87,19.54
10.26,12.22
17.35,23.06
23.51,24.27
19.4,18.18
11.33,14.16
12.21,18.02
9.676,13.14
20.59,21.24
13.37,16.39
13.15,15.34
12.18,14.08
8.618,11.79
11.25,14.78
23.09,19.83
10.96,17.62
20.92,25.09
14.53,13.98
17.29,22.13
13.66,15.15
12.83,22.33
11.52,18.75
13.43,19.63
12.62,17.15
13.75,23.77
12.06,12.74
11.89,21.17
16.13,17.88
11.2,29.37
19.81,22.15
16.3,15.7
12.86,13.32
13.64,16.34
19.53,32.47
10.82,24.21
11.94,18.24
12.31,16.52
14.58,21.53
11.08,14.71
13.27,14.76
16.78,18.8
20.29,14.34
12.27,17.92
21.09,26.57
10.48,19.86
11.08,18.83
10.03,21.28
16.25,19.51
12.45,15.7
16.11,18.05
16.26,21.88
12.23,19.56
12.77,22.47
12.58,18.4
24.25,20.2
15.73,11.28
15.34,14.26
13.65,13.16
19.89,20.26
11.41,10.82
13.34,15.86
19.44,18.82
13.17,18.22
12.88,28.92
9.683,19.34
11.75,20.18
9.423,27.88
14.22,27.85
12.89,15.7
12.49,16.85
12.91,16.33
12.77,21.41
8.95,15.76
13.9,16.62
11.13,16.62
23.27,22.04
11.64,18.33
12.94,16.17
9.173,13.86
13.11,15.56
12.76,13.37
10.29,27.61
13.9,19.24
11.71,15.45
13.45,18.3
14.06,17.18
21.61,22.28
11.04,14.93
19.18,22.49
11.9,14.65
13.0,20.78
13.48,20.82
9.295,13.9
15.75,19.22
17.3,17.08
9.668,18.1
13.82,24.49
19.69,21.25
13.56,13.9
13.68,16.33
11.8,16.58
11.37,18.89
12.42,15.04
11.06,14.96
18.82,21.97
8.726,15.83
14.61,15.69
11.8,17.26
9.904,18.06
17.85,13.23
17.47,24.68
20.44,21.78
7.691,25.44
12.22,20.04
10.48,14.98
11.71,16.67
18.03,16.85
19.45,19.33
12.76,18.84
12.21,14.09
13.16,20.54
12.0,28.23
13.96,17.05
11.22,33.81
15.71,13.93
19.27,26.47
12.36,21.8
14.41,19.73
13.17,21.81
8.598,20.98
14.45,20.22
16.17,16.07
13.62,23.23
11.75,17.56
9.742,19.12
19.8,21.56
20.09,23.86
11.76,18.14
13.8,15.79
13.77,13.27
16.74,21.59
12.46,12.83
17.57,15.05
17.08,27.15
13.85,19.6
11.99,24.89
13.05,13.84
14.47,24.99
10.2,17.48
18.61,20.25
14.4,26.99
10.57,20.22
17.68,20.74
12.77,29.43
12.83,15.73
14.95,17.57
28.11,18.47
10.49,19.29
14.8,17.66
10.57,18.32
21.1,20.52
13.86,16.93
12.65,18.17
12.3,15.9
14.19,23.81
9.847,15.68
12.47,18.6
9.567,15.91
15.53,33.56
11.31,19.04
16.65,21.38
11.89,18.35
19.53,18.9
15.75,20.25
19.79,25.12
20.47,20.67
12.63,20.76
10.8,9.71
13.59,21.84
11.06,17.12
13.44,21.58
17.93,24.48
13.38,30.72
12.86,18.0
12.96,18.29
12.34,14.95
12.03,17.93
15.85,23.95
12.89,13.12
14.11,12.88
18.66,17.12
11.5,18.45
12.62,23.97
18.49,17.52
19.19,15.94
19.1,26.29
14.87,16.67
13.69,16.07
12.85,21.37
17.14,16.4
9.777,16.99
13.74,17.91
9.731,15.34
14.68,20.13
13.98,19.62
12.98,19.35
11.34,21.26
9.667,18.49
11.87,21.54
11.28,13.39
20.48,21.46
20.31,27.06
25.73,17.46
11.63,29.29
18.22,18.87
20.34,21.51
14.58,13.66
10.65,25.22
11.36,17.57
11.61,16.02
12.47,17.31
13.54,14.36
16.27,20.71
10.91,12.35
13.7,17.64
10.71,20.39
16.5,18.29
10.44,15.46
14.87,20.21
11.42,20.38
17.75,28.03
13.85,17.21
19.16,26.6
11.94,20.76
18.05,16.15
15.28,22.41
15.19,13.21
12.45,16.41
10.16,19.59
11.89,17.36
12.72,13.78
20.55,20.86
15.7,20.31
17.02,23.98
11.45,20.97
9.0,14.4
15.66,23.2
15.78,17.89
12.54,18.07
14.2,20.53
14.48,21.46
10.6,18.95
14.25,21.72
12.34,26.86
13.05,19.31
10.95,21.35
14.29,16.82
11.04,16.83
11.76,21.6
15.27,12.91
14.81,14.7
11.54,14.44
11.26,19.83
24.63,21.6
19.59,25.0
14.5,10.89
10.18,17.53
11.16,21.41
14.25,22.15
7.76,24.54
13.46,28.21
12.19,13.29
11.71,17.19
21.16,23.04
12.16,18.03
15.46,23.95
13.28,20.28
16.35,23.29
12.1,17.72
17.99,10.38
12.39,17.48
17.54,19.32
10.94,18.59
21.71,17.25
27.42,26.27
12.07,13.44
11.6,12.84
13.88,16.16
11.95,14.96
11.46,18.16
12.7,12.17
12.95,16.02
13.01,22.22
22.01,21.9
19.55,28.77
15.06,19.83
18.08,21.84
20.26,23.03
14.59,22.68
12.34,22.22
14.97,16.95
12.78,16.49
11.6,24.49
12.05,14.63
9.606,16.84
20.64,17.35
12.8,17.46
17.01,20.26
13.85,15.18
13.94,13.17
15.0,15.51
14.44,15.18
12.9,15.92
27.22,21.87
15.46,19.48
13.17,18.66
12.2,15.21
13.81,23.75
12.0,15.65
11.06,14.83
15.37,22.76
25.22,24.91
14.9,22.53
17.95,20.01
14.96,19.1
14.71,21.59
20.16,19.66
15.32,17.27
13.78,15.79
19.07,24.81
11.27,15.5
17.06,21.0
9.742,15.67
11.68,16.17
18.22,18.7
14.27,22.55
15.1,16.39
15.3,25.27
11.41,14.92
9.755,28.2
11.74,14.69
8.219,20.7
19.4,23.5
13.21,28.06
13.87,20.7
20.73,31.12
11.26,19.96
13.66,19.13
14.95,18.77
16.46,20.11
14.42,19.77
14.53,19.34
12.4,17.68
11.93,21.53
17.2,24.52
11.69,24.44
10.66,15.15
19.02,24.59
11.13,22.44
14.64,16.85
8.597,18.6
13.51,18.89
14.92,14.93
18.94,21.31
18.81,19.98
12.46,24.04
9.436,18.32
9.72,18.22
11.51,23.93
